sample	Alu_pre	L1_pre	SVA_pre	Alu_sen	L1_sen	SVA_sen	Alu_F1	L1_F1	SVA_F1
I1633	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I5233	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I2514	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I5742	0.0	0.5	0	0.0	0.004597701149425287	0.0	0.0	0.009111617312072893	0.0
I2935	0.0	0.3333333333333333	0	0.0	0.0022988505747126436	0.0	0.0	0.0045662100456621	0.0
I5725	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I4877	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I2862	0.08695652173913043	0.125	0	0.016260162601626018	0.0022988505747126436	0.0	0.027397260273972605	0.004514672686230249	0.0
I1734	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I3133	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I4432	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I2861	0.13333333333333333	0.0	0	0.032520325203252036	0.0	0.0	0.0522875816993464	0.0	0.0
I5838	0.0	0.6	0	0.0	0.006896551724137931	0.0	0.0	0.013636363636363637	0.0
I3957	0.1111111111111111	0.8571428571428571	0	0.008130081300813009	0.013793103448275862	0.0	0.015151515151515154	0.027149321266968323	0.0
I3255	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
