	Corr Balanced Acc	Precision	Corr Recall	Corr F1-score
I1633	0.756	0.24	0.911	0.38
I5233	0.768	0.229	0.967	0.37
I2514	0.736	0.26	0.878	0.401
I5742	0.74	0.225	0.919	0.361
I2935	0.783	0.241	0.976	0.387
I5725	0.754	0.224	0.943	0.362
I4877	0.777	0.233	0.976	0.376
I2862	0.726	0.235	0.87	0.37
I1734	0.784	0.244	0.992	0.392
I3133	0.782	0.241	0.984	0.387
I4432	0.775	0.253	0.959	0.4
I2861	0.752	0.234	0.919	0.373
I5838	0.77	0.235	0.959	0.377
I3957	0.755	0.233	0.927	0.372
I3255	0.779	0.239	0.984	0.385
