	Corr Balanced Acc	Precision	Corr Recall	Corr F1-score
I1633	0.819	0.72	0.874	0.79
I5233	0.851	0.727	0.945	0.822
I2514	0.763	0.69	0.779	0.732
I5742	0.84	0.726	0.92	0.812
I2935	0.86	0.742	0.945	0.831
I5725	0.852	0.723	0.954	0.823
I4877	0.852	0.727	0.947	0.823
I2862	0.81	0.721	0.851	0.781
I1734	0.827	0.706	0.913	0.796
I3133	0.834	0.715	0.915	0.803
I4432	0.812	0.714	0.862	0.781
I2861	0.828	0.721	0.897	0.799
I5838	0.843	0.723	0.931	0.814
I3957	0.836	0.722	0.913	0.806
I3255	0.846	0.729	0.926	0.816
