	Corr Balanced Acc	Precision	Corr Recall	Corr F1-score
I1633	0.675	0.049	0.731	0.092
I5233	0.669	0.043	0.769	0.081
I2514	0.646	0.051	0.692	0.095
I5742	0.688	0.047	0.808	0.089
I2935	0.659	0.043	0.731	0.081
I5725	0.698	0.045	0.846	0.085
I4877	0.706	0.047	0.846	0.089
I2862	0.722	0.056	0.846	0.105
I1734	0.67	0.045	0.769	0.085
I3133	0.768	0.055	0.962	0.104
I4432	0.708	0.054	0.808	0.101
I2861	0.738	0.055	0.885	0.104
I5838	0.714	0.05	0.846	0.094
I3957	0.708	0.049	0.846	0.093
I3255	0.703	0.047	0.846	0.089
