sample	raw_total_sequences	dedup_sequences	reads_mapped_dedup	avg_read_len	avg_cov
I1633_7_clip2	2727670965	2069350290	1701458166	48	27.3143785846154
I5233_5_clip2	2096395168	1670021696	1593185827	49	26.1090653923077
I2514_7_clip2	2527210551	2216721596	1606677995	50	26.867525
I5742_4_clip2	1724822368	1459377045	1315204273	51	22.4332501414716
I2935_5_clip2	2115298513	1905293195	1770304724	51	30.1958330849498
I5725_7_clip2	2903185874	2508431275	1770142610	51	30.1930679297659
I4877_6_clip2	2727481314	2354116893	1758141044	51	29.9883589444816
I2862_5_clip2	2168435114	1921238843	1729716755	53	30.6605311086957
I1734_6_clip2	2659951215	2177219794	1483434337	53	26.2949899200669
I3133_6_clip2	2626330992	2367411907	1808082336	53	32.0496200026756
I4432_4_clip2	1751604943	1534382541	1302644402	54	23.5260193003345
I2861_4_clip2	1581288485	1481596616	1400860202	54	25.2998163571906
I5838_4_clip2	1763219881	1573957517	1317277262	54	23.7902916882943
I3957_5_clip2	1784041869	1487236030	1312057466	57	25.0124667431438
I3255_4_clip2	1789668247	1612717758	1196699074	59	23.6137944367893
