sample	raw_total_sequences	dedup_sequences	reads_mapped_dedup	avg_read_len	avg_cov
I7224_1_clip2	374261851	319823642	257449496	44	3.78855445618729
I1581_1_clip2	413976679	397075208	167418818	51	2.85563870167224
I4233_1_clip2	438438703	387569881	350345366	49	5.74144579732442
I4562_1_clip2	444669890	389954504	224384344	50	3.75224655518395
I5109_1_clip2	425130802	323291266	255545720	48	4.10240620735786
I5698_1_clip2	439949261	385611455	306202834	51	5.22285770367893
I2170_1_clip2	435419771	362606071	320948172	53	5.68904786488294
I6730_1_clip2	452333658	393675833	365415993	55	6.72169886789298
I7491_1_clip2	444972408	370107737	316794026	57	6.0392172180602
I0231_1_clip2	386065388	315278259	90038048	69	2.07780110769231
