	Corr Balanced Accu	Precision	Corr Recall	Corr F1-score
I1633	0.778	0.765	0.61	0.679
I5233	0.814	0.722	0.675	0.698
I2514	0.704	0.703	0.52	0.598
I5742	0.794	0.734	0.65	0.689
I2935	0.83	0.811	0.699	0.751
I5725	0.8	0.752	0.642	0.693
I4877	0.844	0.788	0.724	0.755
I2862	0.771	0.733	0.626	0.675
I1734	0.834	0.774	0.724	0.748
I3133	0.808	0.752	0.667	0.707
I4432	0.823	0.748	0.724	0.736
I2861	0.762	0.72	0.585	0.646
I5838	0.834	0.724	0.724	0.724
I3957	0.843	0.833	0.732	0.779
I3255	0.854	0.876	0.748	0.807
