	Corr Balanced Accu	Precision	Corr Recall	Corr F1-score
I1633	0.878	0.841	0.851	0.846
I5233	0.902	0.85	0.897	0.873
I2514	0.812	0.807	0.74	0.772
I5742	0.888	0.842	0.867	0.854
I2935	0.924	0.888	0.915	0.901
I5725	0.909	0.853	0.906	0.879
I4877	0.925	0.874	0.926	0.899
I2862	0.866	0.862	0.807	0.834
I1734	0.886	0.841	0.874	0.857
I3133	0.905	0.868	0.878	0.873
I4432	0.862	0.859	0.8	0.828
I2861	0.892	0.865	0.857	0.861
I5838	0.912	0.887	0.88	0.883
I3957	0.921	0.886	0.897	0.891
I3255	0.927	0.893	0.906	0.899
