sample	Alu_pre	L1_pre	SVA_pre	Alu_sen	L1_sen	SVA_sen	Alu_F1	L1_F1	SVA_F1
I1633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
I5233	0.5	0.0	0.0	0.008130081300813009	0.0	0.0	0.016	0.0	0.0
I2514	0.3333333333333333	0.0	0.0	0.008130081300813009	0.0	0.0	0.015873015873015876	0.0	0.0
I5742	0.08333333333333333	0.058823529411764705	0.0	0.008130081300813009	0.0022988505747126436	0.0	0.014814814814814815	0.004424778761061947	0.0
I2935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
I5725	0.0	0.058823529411764705	0.0	0.0	0.0022988505747126436	0.0	0.0	0.004424778761061947	0.0
I4877	0.0	0.3	0.0	0.0	0.006896551724137931	0.0	0.0	0.01348314606741573	0.0
I2862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
I1734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
I3133	0.07692307692307693	0.0	0.0	0.008130081300813009	0.0	0.0	0.014705882352941178	0.0	0.0
I4432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
I2861	0.0	0.16666666666666666	0.0	0.0	0.004597701149425287	0.0	0.0	0.008948545861297539	0.0
I5838	0.030303030303030304	0.30434782608695654	0.0	0.008130081300813009	0.016091954022988506	0.0	0.012820512820512822	0.030567685589519646	0.0
I3957	0.15789473684210525	0.5625	0.0	0.024390243902439025	0.020689655172413793	0.0	0.04225352112676056	0.03991130820399112	0.0
I3255	0.041666666666666664	0.038461538461538464	0.0	0.008130081300813009	0.0022988505747126436	0.0	0.013605442176870748	0.004338394793926247	0.0
