nearby_sites,ratio_lcluster,ratio_rcluster,longest_clip_len,ratio_low_MAPQ,clip_pos_std,lclip,rclip,cr_L1,cns_L1,ldisc_L1,rdisc_L1,dr_L1,cns_std_l_polyA,cns_std_r_polyA
1,0.0,0.0,18,0.0,14.39,0.0,0.09652509652509653,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0,0.0147058823529411,18.28,0.0,0.030883261272390362,0.0,28.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,41,0.0606060606060606,12.95,0.0,0.03649635036496351,0.0,0.5,0.0,0.0,0.0,0.0,0.018248175182481754
0,0.0,0.0,42,0.0,28.88,0.10976948408342481,0.335946248600224,0.0,0.8571428571428571,0.0,0.0,0.0,0.10976948408342481,0.0
1,0.0,0.0,0,0.0,10.0,0.0,0.06369426751592357,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,1.0,30,0.0,0.0,50.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,4.761904761904762,0.0
3,0.0,0.0,47,0.0303030303030303,7.09,0.04854368932038835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,28,0.0158730158730158,20.95,0.0,0.37333333333333335,0.0,1.6428571428571428,0.0,0.0,0.0,0.2518891687657431,0.0
3,0.0,0.0,44,0.1619047619047619,10.73,0.05927682276229994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,26,0.0,11.5,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.08620689655172414,0.0
1,0.0,1.0,18,0.0,5.0,0.0340599455040872,0.0,0.0,0.5,0.0,0.0170299727520436,0.0,0.0,0.0
7,0.0,0.0,7,0.0071428571428571,16.1,0.01124353496739375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,50,0.0,0.4,0.8298755186721991,0.0,0.0,0.5,0.0,0.0,0.0,0.41493775933609955,0.28653295128939826
