nearby_sites,ratio_lcluster,ratio_rcluster,longest_clip_len,ratio_low_MAPQ,clip_pos_std,lclip,rclip,cr_Alu,cns_Alu,cr_L1,cns_L1,cr_SVA,cns_SVA,ldisc_Alu,rdisc_Alu,ldisc_L1,rdisc_L1,ldisc_SVA,rdisc_SVA,dr_Alu,dr_L1,dr_SVA,cns_std_l_polyA,cns_std_r_polyA
2,0.0,0.0,5,0.0,12.25,0.0,0.09505703422053233,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,32,0.0,0.0,0.8361204013377925,0.11542012927054478,0.16,0.4,0.04,0.32,0.0,0.24,0.0,0.0,0.023084025854108955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.023084025854108955
6,0.0,0.0,19,0.0,16.46,0.0,0.01589825119236884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,13,0.0,0.0,0.4115226337448559,0.6060606060606061,0.0,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115226337448559,0.0
3,0.0,0.0,59,0.0103092783505154,12.82,0.03443526170798898,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,23,0.0,0.0,0.1597444089456869,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597444089456869,0.0
0,0.0,0.0,6,0.0,0.0,0.0,1.1904761904761905,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905
1,0.0,0.0,18,0.0,7.29,0.641025641025641,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,29,0.0,15.85,0.0,0.019470404984423675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018102824040550324,0.0
2,0.0,0.0,19,0.0909090909090909,15.78,0.1111111111111111,0.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,32,0.0,7.07,0.2808988764044944,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,21,0.0,0.0,0.0,2.0833333333333335,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335
1,0.0,0.0,18,0.0,10.5,1.3157894736842106,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,31,0.0,15.97,0.0,0.026062027625749284,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,37,0.0,29.44,0.0,0.036683785766691124,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,40,0.0,32.3,0.6711409395973155,0.5319148936170213,0.0,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711409395973155,0.0
1,0.0,0.0,18,0.0544217687074829,21.0,0.0,0.045599635202918376,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045599635202918376
6,0.0,0.0,39,0.0,15.6,0.0,0.009693679720822024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,16,0.005813953488372,16.54,0.0,0.10914647456887142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,46,0.0,14.3,0.0,0.14234875444839856,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0,0.0,16.82,0.0,0.14684287812041116,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29,0.0,0.0,0.2604166666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,0.0
0,0.25,0.0,47,0.0,0.0,0.15608740894901146,1.8973214285714284,0.043478260869565216,0.6956521739130435,0.0,0.4782608695652174,0.0,0.6521739130434783,0.2232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15608740894901146,0.0
1,0.4285714285714285,0.3333333333333333,40,0.0094786729857819,60.79,0.0,1.113967437874893,0.0,0.9038461538461539,0.0,0.9807692307692307,0.0,0.4230769230769231,0.06426735218508997,0.0,0.06426735218508997,0.019924287706714484,0.0,0.0,0.0,0.2,0.0,0.12950787009364415,0.23564695801199656
1,0.0,0.0,16,0.0526315789473684,10.0,0.2347417840375587,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,18,0.0,14.04,0.17793594306049823,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,17,0.0,16.12,0.0,0.03477051460361613,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,18,0.0,15.81,0.035161744022503515,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,72,0.0,7.98,0.3564154786150713,0.5102040816326531,0.14285714285714285,0.8214285714285714,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,24,0.0,0.92,0.0,1.2224938875305624,0.0,0.8,0.0,0.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48899755501222497
0,0.0,0.0,33,0.0,0.0,0.0,1.923076923076923,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384615
0,0.0,0.0,19,0.6190476190476191,0.0,0.14705882352941177,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29,0.0166666666666666,0.0,0.0,0.03687315634218289,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018436578171091445
0,0.0,0.0,30,0.0,0.0,0.12658227848101264,0.223463687150838,0.0,0.8,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101264,0.08379888268156425
2,0.0,0.0,16,0.0,18.87,0.09191176470588235,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,34,0.3495145631067961,8.0,0.0,0.09930486593843098,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,44,0.0384615384615384,24.41,0.0,4.11764705882353,0.0,0.8571428571428571,0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,44,0.0,14.48,0.0,0.041390728476821195,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,1.0,29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
