nearby_sites,ratio_lcluster,ratio_rcluster,longest_clip_len,ratio_low_MAPQ,clip_pos_std,lclip,rclip,cr_SVA,cns_SVA,ldisc_SVA,rdisc_SVA,dr_SVA,cns_std_l_polyA,cns_std_r_polyA
0,1.0,1.0,10,0.0,0.0,0.0,0.28901734104046245,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,16,0.0,26.39,0.08726003490401396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,30,0.0,11.13,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041841004184100423
2,0.0,0.0,35,0.0,19.36,0.0,0.11160714285714285,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0,0.0,10.0,0.0,0.37593984962406013,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,35,0.1724137931034483,0.0,0.37593984962406013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,44,0.0125,13.82,0.031505986137366104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,39,0.0,14.09,0.03972983710766786,0.0,0.0,0.0,0.0,0.0,0.0,0.01986491855383393,0.0
1,0.0,0.0,4,0.0,16.1,0.016801075268817203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0,0.0,17.28,0.0,0.09881422924901187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,35,0.0,9.32,0.17321016166281755,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,2,0.1598173515981735,16.62,0.0,0.032247662044501774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0,0.0,16.21,0.0,0.09823182711198429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,62,0.0,21.91,0.6535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.32679738562091504,0.0
1,0.0,0.0,18,0.0,10.18,0.1362397820163488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
